publication_title	print_identifier	online_identifier	date_first_issue_online	num_first_vol_online	num_first_issue_online	date_last_issue_online	num_last_vol_online	num_last_issue_online	title_url	first_author	title_id	embargo_info	coverage_depth	coverage_notes	publisher_name	own_anchor	all_issns	zdb_id
Contributions to Indian Sociology	0069-9667	0069-9667	1967	1					http://journals.sagepub.com/home/cis		60931		Volltext		Sage Publications	sage_premier	0069-9667;0973-0648	2211875-5
Convergence: The International Journal of Research into New Media Technologies	1354-8565	1748-7382	1995	1					http://journals.sagepub.com/home/con		60763		Volltext		Sage Publications	sage_premier	1354-8565;1748-7382	2210278-4
Cooperation and Conflict	0010-8367	1460-3691	1965	1					http://journals.sagepub.com/home/cac		4851		Volltext		Sage Publications	sage_premier	0010-8367;1460-3691	1482667-7
Cornell Hospitality Quarterly	0010-8804	1552-3853	1960	1					http://journals.sagepub.com/home/cqx		3251		Volltext		Sage Publications	sage_premier	0010-8804;1938-9655;1552-3853;1938-9663	2381244-8
Counseling Outcome Research and Evaluation	2150-1378	2150-1386	2010	1		2016	7		http://journals.sagepub.com/home/cor		130558		Volltext		Taylor & Francis; (formerly: Sage Publications)	sage_premier	2150-1378;2150-1386	2539798-9
Counseling Psychologist, The	0011-0000	1552-3861	1969	1					http://journals.sagepub.com/home/tcp		15146		Volltext		Sage Publications	sage_premier	0011-0000;1552-3861	2056679-7
Crime and Delinquency	0011-1287	1552-387X	1955	1					http://journals.sagepub.com/home/cad		5988		Volltext		Sage Publications	sage_premier	0011-1287;1552-387X	1499997-3
Crime, Media, Culture	1741-6590	1741-6604	2005	1					http://journals.sagepub.com/home/cmc		53506		Volltext		Sage Publications	sage_premier	1741-6590;1741-6604	2183400-3
Criminal Justice and Behavior	0093-8548	1552-3594	1974	1					http://journals.sagepub.com/home/cjb		5995		Volltext		Sage Publications	sage_premier	0093-8548;1552-3594	1500128-3
Criminal Justice Policy Review	0887-4034	1552-3586	1986	1					http://journals.sagepub.com/home/cjp		11528		Volltext		Sage Publications	sage_premier	0887-4034;1552-3586	2051883-3
Criminal Justice Review	0734-0168	1556-3839	1976	1					http://journals.sagepub.com/home/cjr		53983		Volltext		Sage Publications	sage_premier	0734-0168;1556-3839	2187435-9
Criminology and Criminal Justice (Formerly: Criminal Justice)	1466-8025	1741-3230	2001	1					http://journals.sagepub.com/home/crj		15819		Volltext		Sage Publications	sage_premier	1466-8025;1748-8958;1741-3230;1748-8966	2063005-0
Critical Research on Religion	2050-3032	2050-3040	2013	1					http://journals.sagepub.com/home/crr		200317		Volltext		Sage Publications	sage_premier	2050-3032;2050-3040	2728245-4
Critical Social Policy	0261-0183	1461-703X	1981	1					http://journals.sagepub.com/home/csp		15259		Volltext		Sage Publications	sage_premier	0261-0183;1461-703X	2057734-5
Critical Sociology	0047-0384	1569-1632	1969	1					http://journals.sagepub.com/home/crs		16016		Volltext		Sage Publications	sage_premier	0047-0384;0896-9205;1569-1632	2048604-2
Critique of Anthropology	0308-275X	1460-3721	1974	1					http://journals.sagepub.com/home/coa		9183		Volltext		Sage Publications	sage_premier	0308-275X;1460-3721	2028654-5
Cross-Cultural Research	1069-3971	1552-3578	1966	1					http://journals.sagepub.com/home/ccr		6362		Volltext		Sage Publications	sage_premier	1069-3971;1552-3578	2004124-X
Cultural Dynamics	0921-3740	1461-7048	1988	1					http://journals.sagepub.com/home/cdy		6196		Volltext		Sage Publications	sage_premier	0921-3740;1461-7048	2012952-X
Cultural Geographies	0967-4608	1477-0881	1994	1					http://journals.sagepub.com/home/cgj		37960		Volltext		Sage Publications ; HighWire Press ; JSTOR	sage_premier	0967-4608;1474-4740;1477-0881;2058-3435	2094185-7
Cultural Sociology	1749-9755	1749-9763	2007	1					http://journals.sagepub.com/home/cus		88333		Volltext		Sage Publications	sage_premier	1749-9755;1749-9763	2278651-X
Cultural Studies - Critical Methodologies	1532-7086	1552-356X	2001	1					http://journals.sagepub.com/home/csc		37705		Volltext		Sage Publications	sage_premier	1532-7086;1552-356X	2070926-2
Culture and Psychology	1354-067X	1461-7056	1995	1					http://journals.sagepub.com/home/cap		4855		Volltext		Sage Publications	sage_premier	1354-067X;1461-7056	1482673-2
Current Directions in Psychological Science	0963-7214	1467-8721	1992	1					http://journals.sagepub.com/home/cdp		8536		Volltext		Sage Publications	sage_premier	0963-7214;1467-8721	2026362-4
Current Sociology	0011-3921	1461-7064	1952	1					http://journals.sagepub.com/home/csi		4535		Volltext		Sage Publications	sage_premier	0011-3921;1461-7064	1480684-8
Currents in Biblical Research	1476-993X	1745-5200	2002	1					http://journals.sagepub.com/home/cbi		58370		Volltext		Sage Publications	sage_premier	1476-993X;1745-5200	2116828-3
Dementia: The International Journal of Social Research and Practice	1471-3012	1741-2684	2002	1					http://journals.sagepub.com/home/dem		25383		Volltext		Sage Publications	sage_premier	1471-3012;1741-2684	2084045-7
Diabetes & Vascular Disease Research	1479-1641	1752-8984	2004	1					http://journals.sagepub.com/home/dvr		81974		Volltext		Sage Publications	sage_premier	1479-1641;1752-8984	2250797-8
Diabetes Educator, The	0145-7217	1554-6063	1980	6					http://journals.sagepub.com/home/tde		52088		Volltext		Sage Publications	sage_premier	0145-7217;1554-6063	2173745-9
Dialogues in Human Geography	2043-8206	2043-8214	2011	1					http://journals.sagepub.com/home/dhg		160254		Volltext		Sage Publications	sage_premier	2043-8206;2043-8214	2646232-1
Diogenes	0392-1921	1467-7695	1953	1					http://journals.sagepub.com/home/dio		37659		Volltext		Sage Publications	sage_premier	0392-1921;1467-7695	2005283-2
Discourse and Communication	1750-4813	1750-4821	2007	1					http://journals.sagepub.com/home/dcm		88037		Volltext		Sage Publications	sage_premier	1750-4813;1750-4821	2272946-X
Discourse and Society	0957-9265	1460-3624	1990	1					http://journals.sagepub.com/home/das		5007		Volltext		Sage Publications ; JSTOR	sage_premier	0957-9265;1460-3624	1484288-9
Discourse Studies	1461-4456	1461-7080	1999	1					http://journals.sagepub.com/home/dis		4760		Volltext		Sage Publications ; JSTOR	sage_premier	1461-4456;1461-7080	1482715-3
Drug Science, Policy and Law 		2050-3245	2013	1					http://journals.sagepub.com/home/dsp		220172		Volltext		Sage Publications	sage_premier	2050-3245	2785726-8
East European Politics and Societies: and Cultures	0888-3254	1533-8371	1986	1					http://journals.sagepub.com/home/eep		9994		Volltext		Sage Publications	sage_premier	0888-3254;1533-8371	2043614-2
Economic and Industrial Democracy	0143-831X	1461-7099	1980	1					http://journals.sagepub.com/home/eid		6735		Volltext		Sage Publications	sage_premier	0143-831X;1461-7099	1498600-0
Economic and Labour Relations Review, The 	1035-3046	1838-2673	1999	10					http://journals.sagepub.com/home/elr		195583		Volltext		Sage Publications	sage_premier	1035-3046;1838-2673	2500628-9
Economic Development Quarterly	0891-2424	1552-3543	1987	1					http://journals.sagepub.com/home/edq		9204		Volltext		Sage Publications	sage_premier	0891-2424;1552-3543	2033267-1
Education and Urban Society	0013-1245	1552-3535	1968	1					http://journals.sagepub.com/home/eus		8089		Volltext		Sage Publications	sage_premier	0013-1245;1552-3535	2027950-4
Education, Citizenship and Social Justice	1746-1979	1746-1987	2006	1					http://journals.sagepub.com/home/esj		65291		Volltext		Sage Publications	sage_premier	1746-1979;1746-1987	2227379-7
Educational Administration Quarterly	0013-161X	1552-3519	1965	1					http://journals.sagepub.com/home/eaq		7678		Volltext		Sage Publications	sage_premier	0013-161X;1552-3519	2036843-4
Educational and Psychological Measurement	0013-1644	1552-3888	1941	1					http://journals.sagepub.com/home/epm		5994		Volltext		Sage Publications	sage_premier	0013-1644;1552-3888	1500101-5
Educational Evaluation and Policy Analysis	0162-3737	1935-1062	1979	1					http://journals.sagepub.com/home/epa		88526		Volltext		Sage Publications ; HighWire Press ; American Educational Research Association	sage_premier	0162-3737;1935-1062	2174079-3
Educational Management Administration and Leadership	0263-211X	1741-1440	1972	1					http://journals.sagepub.com/home/ema		42263		Volltext		Sage Publications	sage_premier	0263-211X;0305-7496;0307-9090;1741-1432;1741-1440	2138997-4
Educational Policy	0895-9048	1552-3896	1987	1					http://journals.sagepub.com/home/epx		7507		Volltext		Sage Publications	sage_premier	0895-9048;1552-3896	2012956-7
Educational Researcher	0013-189X	1935-102X	1972	1					http://journals.sagepub.com/home/edr		87543		Volltext		Sage Publications ; HighWire Press ; American Educational Research Association	sage_premier	0013-189X;1935-102X	2061866-9
Electronic News	1931-2431	1931-244X	2007	1					http://journals.sagepub.com/home/enx		133175		Volltext		Sage Publications	sage_premier	1931-2431;1931-244X	2428079-3
Emerging Adulthood	2167-6968	2167-6984	2013	1					http://journals.sagepub.com/home/eax		195442		Volltext		Sage Publications	sage_premier	2167-6968;2167-6984	2706250-8
Emerging Economy Studies	2394-9015	2454-2148	2015	1					http://journals.sagepub.com/home/emi		235663		Volltext		Sage Publications	sage_premier	2394-9015;2454-2148	2829395-2
Emotion Review	1754-0739	1754-0747	2009	1					http://journals.sagepub.com/home/emr		111786		Volltext		Sage Publications ; International Society for Research on Emotions (ISRE)	sage_premier	1754-0739;1754-0747	2474844-4
Entrepreneurship Education and Pedagogy 	2515-1274	2515-1274	2018	1					http://journals.sagepub.com/loi/eex		313199		Volltext		Sage	sage_premier	2515-1274	2904845-X
Environment and Behavior	0013-9165	1552-390X	1969	1					http://journals.sagepub.com/home/eab		5996		Volltext		Sage Publications	sage_premier	0013-9165;1552-390X	1500133-7
Environment and Urbanization	0956-2478	1746-0301	1989	1					http://journals.sagepub.com/home/eau		15102		Volltext		Sage Publications ; HighWire Press ; International Institute for Environment and Development (IIED)	sage_premier	0956-2478;1746-0301	2056863-0
Environment and Urbanization Asia	0975-4253	0976-3546	2010	1					http://journals.sagepub.com/home/eua		133572		Volltext		Sage Publications	sage_premier	0975-4253;0976-3546	2548498-9
Ergonomics in Design	1064-8046	2169-5083	1993	1					http://journals.sagepub.com/home/erg		102929		Volltext		Sage Publications ; Human Factors and Ergonomics Society	sage_premier	1064-8046;2169-5083	2414618-3
Ethnicities	1468-7968	1741-2706	2001	1					http://journals.sagepub.com/home/etn		11539		Volltext		Sage Publications ; JSTOR	sage_premier	1468-7968;1741-2706	2051877-8
Ethnography	1466-1381	1741-2714	2000	1					http://journals.sagepub.com/home/eth		8582		Volltext		Sage Publications ; JSTOR	sage_premier	1466-1381;1741-2714	2026329-6
European Heart Journal - Acute Cardiovascular Care	2048-8726	2048-8734	2012	1					http://journals.sagepub.com/home/acc		183979		Volltext		Sage Publications	sage_premier	2048-8726;2048-8734	2663340-1
European History Quarterly	0014-3111	1461-7110	1971	1					http://journals.sagepub.com/home/ehq		6406		Volltext		Sage Publications	sage_premier	0014-3111;0265-6914;1461-7110	1498618-8
European Journal of Archaeology	1461-9571	1741-2722	1998	1		2010	13		http://journals.sagepub.com/home/eja		8586		Volltext		Cambridge University Press; formerly: Routledge, Taylor & Francis Group (Maney Publishing) ; SAGE Publications	sage_premier	1461-9571;1741-2722	2019594-1
European Journal of Cardiovascular Nursing	1474-5151	1873-1953	2002	1					http://journals.sagepub.com/home/cnu		31902		Volltext		Sage Publications ; European Society of Cardiology ; formerly: Elsevier	sage_premier	1474-5151;1873-1953	2099328-6
European Journal of Communication	0267-3231	1460-3705	1986	1					http://journals.sagepub.com/home/ejc		4860		Volltext		Sage Publications	sage_premier	0267-3231;1460-3705	1482809-1
European Journal of Criminology	1477-3708	1741-2609	2004	1					http://journals.sagepub.com/home/euc		40288		Volltext		Sage Publications	sage_premier	1477-3708;1741-2609	2135314-1
European Journal of Cultural Studies	1367-5494	1460-3551	1998	1					http://journals.sagepub.com/home/ecs		9222		Volltext		Sage Publications	sage_premier	1367-5494;1460-3551	2033509-X
European Journal of Industrial Relations	0959-6801	1461-7129	1995	1					http://journals.sagepub.com/home/ejd		4391		Volltext		Sage Publications	sage_premier	0959-6801;1461-7129	1475244-x
European Journal of International Relations (EJIR)	1354-0661	1460-3713	1995	1					http://journals.sagepub.com/home/ejt		4856		Volltext		Sage Publications	sage_premier	1354-0661;1460-3713	1482719-0
European Journal of Political Theory	1474-8851	1741-2730	2002	1					http://journals.sagepub.com/home/ept		37707		Volltext		Sage Publications	sage_premier	1474-8851;1741-2730	2118686-8
European Journal of Preventive Cardiology 	1350-6277	1473-5652	1994	1					http://journals.sagepub.com/home/cpr		2531		Volltext		Sage Publications ; formerly: Lippincott Williams & Wilkins	sage_premier	1350-6277;1741-8267;2047-4873;1473-5652;1741-8275;2047-4881	2646239-4
European Journal of Probation (2009-)		2066-2203	2009	1					http://journals.sagepub.com/home/ejp		215582		Volltext		Sage Publications	sage_premier	2066-2203	2735252-3
European Journal of Social Theory	1368-4310	1461-7137	1998	1					http://journals.sagepub.com/home/est		7793		Volltext		Sage Publications	sage_premier	1368-4310;1461-7137	1492222-8
European Journal of Women's Studies, The	1350-5068	1461-7420	1994	1					http://journals.sagepub.com/home/ejw		5008		Volltext		Sage Publications	sage_premier	1350-5068;1461-7420	1484290-7
European Physical Education Review	1356-336X	1741-2749	1995	1					http://journals.sagepub.com/home/epe		4542		Volltext		Sage Publications	sage_premier	1356-336X;1741-2749	2025496-9
European Stroke Journal	2396-9873	2396-9881	2016	1					http://journals.sagepub.com/home/eso		243009		Volltext		Sage Publications	sage_premier	2396-9873;2396-9881	2851287-X
European Union Politics (EUP)	1465-1165	1741-2757	2000	1					http://journals.sagepub.com/home/eup		6719		Volltext		Sage Publications	sage_premier	1465-1165;1741-2757	2026317-X
European Urban and Regional Studies	0969-7764	1461-7145	1994	1					http://journals.sagepub.com/home/eur		5151		Volltext		Sage Publications	sage_premier	0969-7764;1461-7145	1490705-7
Evaluation	1356-3890	1461-7153	1995	1					http://journals.sagepub.com/home/evi		9233		Volltext		Sage Publications	sage_premier	1356-3890;1461-7153	2033688-3
Evaluation and the Health Professions	0163-2787	1552-3918	1978	1					http://journals.sagepub.com/home/ehp		31575		Volltext		Sage Publications	sage_premier	0163-2787;1552-3918	2067657-8
Evaluation Review (formerly: Evaluation quarterly)	0145-4692	1552-3926	1977	1					http://journals.sagepub.com/home/erx		5997		Volltext		Sage Publications	sage_premier	0145-4692;0193-841X;1552-3926	1500138-6
Expository Times, The	0014-5246	1745-5308	1889	1					http://journals.sagepub.com/home/ext		53985		Volltext		Sage Publications	sage_premier	0014-5246;1745-5308	2117688-7
Family and Consumer Sciences Research Journal	0046-7774	1552-3934	1972	1	1	2009	38	2	http://onlinelibrary.wiley.com/journal/10.1002/%28ISSN%291552-3934/issues		46789		Volltext		Wiley-Blackwell - SSH	sage_premier	0046-7774;1077-727X;1552-3934	2158121-6
Family Business Review	0894-4865	1741-6248	1988	1					http://journals.sagepub.com/home/fbr		39966		Volltext		Sage Publications ; formerly Wiley-Blackwell	sage_premier	0894-4865;1741-6248	2132016-0
Family Journal, The	1066-4807	1552-3950	1993	1					http://journals.sagepub.com/home/tfj		18917		Volltext		Sage Publications	sage_premier	1066-4807;1552-3950	2066108-3
Feminism and Psychology	0959-3535	1461-7161	1991	1					http://journals.sagepub.com/home/fap		5998		Volltext		Sage Publications	sage_premier	0959-3535;1461-7161	1500139-8
Feminist Criminology	1557-0851	1557-086X	2006	1					http://journals.sagepub.com/home/fcx		61099		Volltext		Sage Publications ; HighWire Press ; Division on Women and Crime of the American Society of Criminology	sage_premier	1557-0851;1557-086X	2213042-1
Feminist Theology	0966-7350	1745-5189	1992	1					http://journals.sagepub.com/home/fth		60921		Volltext		Sage Publications	sage_premier	0966-7350;1745-5189	2069502-0
Feminist Theory	1464-7001	1741-2773	2000	1					http://journals.sagepub.com/home/fty		9235		Volltext		Sage Publications	sage_premier	1464-7001;1741-2773	2033689-5
Field Methods (formerly: Cultural Anthropology Methods Newsletter - CAM Newsletter)	1064-8631	1552-3969	1989	1					http://journals.sagepub.com/home/fmx		15311		Volltext		Sage Publications	sage_premier	1064-8631;1525-822X;1552-3969	2058705-3
First Language	0142-7237	1740-2344	1980	1					http://journals.sagepub.com/home/fla		37708		Volltext		Sage Publications	sage_premier	0142-7237;1740-2344	2124155-7
Focus on Autism and Other Developmental Disabilities	0887-1566	1538-4829	1986	1	2				http://journals.sagepub.com/home/foa		19877		Volltext		Sage Publications ; formerly: Pro-ed	sage_premier	0887-1566;1088-3576;1538-4829	2070376-4
Food Science and Technology International / Ciencia y Tecnología de Alimentos Internacional	1082-0132	1532-1738	1995	1					http://journals.sagepub.com/home/fst		2520		Volltext		Sage Publications	sage_premier	1082-0132;1532-1738	2081257-7
Foot and Ankle International (Formerly Foot and Ankle)	0198-0211	1944-7876	1999	20					http://journals.sagepub.com/home/fai		39454		Volltext		Sage Publications ; American Orthopaedic Foot and Ankle Society AOFAS	sage_premier	0198-0211;1071-1007;1944-7876	2129503-7
Foot and Ankle Specialist	1938-6400	1938-7636	2008	1					http://journals.sagepub.com/home/fas		99905		Volltext		Sage Publications	sage_premier	1938-6400;1938-7636	2411886-2
Foreign Trade Review 	0015-7325	0971-7633	1999	34					http://journals.sagepub.com/home/ftr		201053		Volltext		Sage Publications	sage_premier	0015-7325;0971-7633	2732603-2
Forum Italicum : A Journal of Italian Studies	0014-5858	2168-989X	1967	1					http://journals.sagepub.com/home/foi		150934		Volltext		Sage Publications	sage_premier	0014-5858;2168-989X	2591485-6
French Cultural Studies	0957-1558	1740-2352	1990	1					http://journals.sagepub.com/home/frc		39294		Volltext		Sage Publications	sage_premier	0957-1558;1740-2352	2069451-9
Games and Culture	1555-4120	1555-4139	2006	1					http://journals.sagepub.com/home/gac		61098		Volltext		Sage Publications	sage_premier	1555-4120;1555-4139	2213152-8
Gender and Society	0891-2432	1552-3977	1987	1					http://journals.sagepub.com/home/gas		15802		Volltext		Sage Publications	sage_premier	0891-2432;1552-3977	2062761-0
Gender, Technology and Development	0971-8524	0973-0656	1997	1		2016	20		http://journals.sagepub.com/home/gtd		53221		Volltext		Taylor & Francis ; (formerly Sage Publications)	sage_premier	0971-8524;0973-0656	2180444-8
General Music Today	1048-3713	1931-3756	1987	1					http://journals.sagepub.com/home/gmt		40729		Volltext		National Association of Music Education ; Sage Publications	sage_premier	1048-3713;1931-3756	2138522-1
Gifted Child Quarterly	0016-9862	1934-9041	1957	1					http://journals.sagepub.com/home/gcq		86895		Volltext		Sage Publications	sage_premier	0016-9862;1934-9041	2066376-6
Gifted Child Today 	0164-9728	2162-951X	1978	1					http://journals.sagepub.com/home/gct		172160		Volltext		Sage Publications	sage_premier	0164-9728;0892-9580;1076-2175;2162-951X	2070229-2
Gifted Education International	0261-4294	2047-9077	1982	1					http://journals.sagepub.com/home/gei		180177		Volltext		Sage Publications	sage_premier	0261-4294;2047-9077	2554331-3
Global Business Review	0972-1509	0972-1509	2000	1					http://journals.sagepub.com/home/gbr		60933		Volltext		Sage Publications	sage_premier	0972-1509;0973-0664	2211884-6
Global Health Promotion	1025-3823	1756-3976	1994	1					http://journals.sagepub.com/home/ped		104497		Volltext		Sage Publications ; HighWire Press ; International Union for Health Promotion and Education (IUHPE)	sage_premier	1025-3823;1757-9759;1756-3976;1757-9767	2502152-7
Global Journal of Emerging Market Economies	0974-9101	0975-2730	2009	1					http://journals.sagepub.com/home/eme		120533		Volltext		Sage Publications	sage_premier	0974-9101;0975-2730	2501279-4
Global Media and Communication	1742-7665	1742-7673	2005	1					http://journals.sagepub.com/home/gmc		53505		Volltext		Sage Publications	sage_premier	1742-7665;1742-7673	2183332-1
Global Social Policy	1468-0181	1741-2803	2001	1					http://journals.sagepub.com/home/gsp		12453		Volltext		Sage Publications	sage_premier	1468-0181;1741-2803	2052043-8
Group Analysis	0533-3164	1461-717X	1967	1					http://journals.sagepub.com/home/gaq		9213		Volltext		Sage Publications	sage_premier	0533-3164;1461-717X	2034457-0
Group and Organization Management	1059-6011	1552-3993	1976	1					http://journals.sagepub.com/home/gom		6408		Volltext		Sage Publications	sage_premier	1059-6011;1552-3993	2001749-2
Group Processes and Intergroup Relations	1368-4302	1461-7188	1998	1					http://journals.sagepub.com/home/gpi		4225		Volltext		Sage Publications	sage_premier	1368-4302;1461-7188	2021721-3
Health : An Interdisciplinary Journal for the Social Study of Health, Illness and Medicine	1363-4593	1461-7196	1997	1					http://journals.sagepub.com/home/hea		9214		Volltext		Sage Publications	sage_premier	1363-4593;1461-7196	2034459-4
Health Education and Behavior (formerly: Health Education Monographs; Health Education Quarterly)	0073-1455	1552-6127	1957						http://journals.sagepub.com/home/heb		25207		Volltext		Sage Publications	sage_premier	0073-1455;0195-8402;1090-1981;1552-6127	2082564-X
Health Education Journal	0017-8969	1748-8176	1943	1					http://journals.sagepub.com/home/hej		65777		Volltext		Sage Publications	sage_premier	0017-8969;1748-8176	2233563-8
Health Informatics Journal	1460-4582	1741-2811	1995	1					http://journals.sagepub.com/home/jhi		33268		Volltext		Sage Publications	sage_premier	1460-4582;1741-2811	2070802-6
Health Promotion Practice	1524-8399	1552-6372	2000	1					http://journals.sagepub.com/home/hpp		8973		Volltext		Sage Publications	sage_premier	1524-8399;1552-6372	2036801-X
High Performance Polymers	0954-0083	1361-6412	1989	1					http://journals.sagepub.com/home/hip		367		Volltext		Sage Publications	sage_premier	0954-0083;1361-6412	1483713-4
Higher Education for the Future	2347-6311	2348-5779	2014	1					http://journals.sagepub.com/home/hef		227529		Volltext		Sage Publishing	sage_premier	2347-6311;2348-5779	2805733-8
Hispanic Journal of Behavioral Sciences	0739-9863	1552-6364	1979	1	4				http://journals.sagepub.com/home/hjb		18940		Volltext		Sage Publications	sage_premier	0739-9863;1552-6364	2067258-5
History and Sociology of South Asia 	2230-8075	2249-5312	2007	1					http://journals.sagepub.com/home/hsa		172161		Volltext		Sage Publications	sage_premier	2230-8075;2249-5312	2646255-2
History of Psychiatry	0957-154X	1740-2360	1990	1					http://journals.sagepub.com/home/hpy		37709		Volltext		Sage Publications	sage_premier	0957-154X;1740-2360	2119431-2
History of the Human Sciences	0952-6951	1461-720X	1988	1					http://journals.sagepub.com/home/hhs		5330		Volltext		Sage Publications	sage_premier	0952-6951;1461-720X	2023719-4
Holocene, The	0959-6836	1477-0911	1991	1					http://journals.sagepub.com/home/hol		6885		Volltext		Sage Publications (früher: Hodder Arnold) ; HighWire Press	sage_premier	0959-6836;1477-0911	2027956-5
Home Health Care Management and Practice	1084-8223	1552-6739	1988	1					http://journals.sagepub.com/home/hhc		15755		Volltext		Sage Publications	sage_premier	1084-8223;1552-6739	2061340-4
Homicide Studies	1088-7679	1552-6720	1997	1					http://journals.sagepub.com/home/hsx		9216		Volltext		Sage Publications	sage_premier	1088-7679;1552-6720	2034461-2
Human and Experimental Toxicology	0144-5952	1477-0903	1981	1					http://journals.sagepub.com/home/het		2984		Volltext		Sage Publications ; HighWire Press ; Hodder Arnold	sage_premier	0144-5952;0960-3271;1477-0903	1483723-7
Human Factors : The Journal of the Human Factors and Ergonomics Society	0018-7208	1547-8181	1958	1					http://journals.sagepub.com/home/hfs		53201		Volltext		Sage Publications ; Human Factors and Ergonomics Society	sage_premier	0018-7208;1547-8181	2066426-6
Human Relations	0018-7267	1741-282X	1947	1					http://journals.sagepub.com/home/hum		38734		Volltext		Sage Publications ; früher: Kluwer	sage_premier	0018-7267;1741-282X	1492301-4
Human Resource Development Review	1534-4843	1552-6712	2002	1					http://journals.sagepub.com/home/hrd		33269		Volltext		Sage Publications	sage_premier	1534-4843;1552-6712	2101109-6
Humanity & Society	0160-5976	2372-9708	1999	23					http://journals.sagepub.com/home/has		186030		Volltext		Sage Publications	sage_premier	0160-5976;2372-9708	2266054-9
ICU Director	1944-4516	1944-4524	2010	1		2013	4		http://journals.sagepub.com/home/icu		129253		Volltext		Sage Publications	sage_premier	1944-4516;1944-4524	2533433-5
IFLA Journal	0340-0352	1745-2651	1975	1					http://journals.sagepub.com/home/ifl		53660		Volltext		Sage Publications	sage_premier	0340-0352;1745-2651	2052513-8
IIM Kozhikode Society & Management Review	2277-9752	2321-029X	2012	1					http://journals.sagepub.com/home/ksm		191764		Volltext		Sage Publications	sage_premier	2277-9752;2321-029X	2689774-X
Improving Schools	1365-4802	1475-7583	1998	1					http://journals.sagepub.com/home/imp		51603		Volltext		Sage Publications	sage_premier	1365-4802;1475-7583	2171399-6
Index on Censorship	0306-4220	1746-6067	1972	1					http://journals.sagepub.com/home/ioc		55934		Volltext		Sage Publications (formerly: Routledge, Taylor & Francis)	sage_premier	0306-4220;1746-6067	2130313-7
India Quarterly	0974-9284	0975-2684	1954	10					http://journals.sagepub.com/home/iqq		128901		Volltext		Sage Publications	sage_premier	0974-9284;0975-2684	2067878-2
Indian Economic and Social History Review, The	0019-4646	0973-0893	1964	1					http://journals.sagepub.com/home/ier		60935		Volltext		Sage Publications	sage_premier	0019-4646;0973-0893	2211912-7
Indian Historical Review	0376-9836	0975-5977	1999	26					http://journals.sagepub.com/home/ihr		125573		Volltext		Sage Publications	sage_premier	0376-9836;0975-5977	2522567-4
Indian Journal of Gender Studies	0971-5215	0971-5215	1994	1					http://journals.sagepub.com/home/ijg		60936		Volltext		Sage Publications	sage_premier	0971-5215;0973-0672	2211914-0
Indoor and Built Environment (formerly: Indoor Environment) 	1420-326X	1423-0070	1992	1					http://journals.sagepub.com/home/ibe		37710		Volltext		Sage Publications ; HighWire Press ; formerly Karger	sage_premier	1420-326X;1423-0070	1482713-x
Information Development	0266-6669	1741-6469	1985	1					http://journals.sagepub.com/home/idv		8717		Volltext		Sage Publications	sage_premier	0266-6669;1741-6469	2025059-9
Information Visualization	1473-8716	1473-8724	2002	1					http://journals.sagepub.com/home/ivi		24733		Volltext		Sage Publications ; früher: Palgrave Macmillan	sage_premier	1473-8716;1473-8724	2078513-6
Innate Immunity	0968-0519	1743-2839	1994	1					http://journals.sagepub.com/home/ini		6082		Volltext		Sage Publications	sage_premier	0968-0519;1753-4259;1743-2839;1753-4267	2381250-3
InnovAiT	1755-7380	1755-7399	2008	1					http://journals.sagepub.com/home/ino		103315		Volltext		Sage Publications	sage_premier	1755-7380;1755-7399	2416002-7
International Area Studies Review (IASR)	2233-8659	2049-1123	1997	1					http://journals.sagepub.com/home/ias		184011		Volltext		Sage Publications	sage_premier	2233-8659;2049-1123	2661380-3
International Communication Gazette, The (Formerly: Gazette)	0016-5492	1748-0493	1955	1					http://journals.sagepub.com/home/gaz		4932		Volltext		Sage Publications	sage_premier	0016-5492;1748-0485;1748-0493	1484883-1
International Criminal Justice Review	1057-5677	1556-3855	1991	1					http://journals.sagepub.com/home/icj		38667		Volltext		Sage Publications	sage_premier	1057-5677;1556-3855	2187661-7
International Journal : Canadas Journal of Global Policy Analysis 	0020-7020	2052-465X	1999	54					http://journals.sagepub.com/home/ijx		128008		Volltext		Sage Publications ; Canadian International Council ; Canadian Institute of International Affairs ; JSTOR	sage_premier	0020-7020;2052-465X	2530042-8
International Journal of Behavioral Development	0165-0254	1464-0651	1978	1					http://journals.sagepub.com/home/jbd		64149		Volltext		Sage Publications ; HighWire Press ; früher Psychology Press, Taylor & Francis	sage_premier	0165-0254;1464-0651	1466999-7
International Journal of Bilingualism	1367-0069	1756-6878	1997	1					http://journals.sagepub.com/home/ijb		5610		Volltext		Sage Publications	sage_premier	1367-0069;1756-6878	2029695-2
International Journal of Business Communication	0021-9436	1552-4582	1963	1					http://journals.sagepub.com/home/job		42265		Volltext		Sage Publications	sage_premier	0021-9436;2329-4884;1552-4582;2329-4892;2329-9489	2754771-1
International Journal of Comparative Sociology 	0020-7152	1745-2554	2002	43					http://journals.sagepub.com/home/cos		149837		Volltext		Sage Publications	sage_premier	0020-7152;1745-2554	2043799-7
International Journal of Cross Cultural Management	1470-5958	1741-2838	2001	1					http://journals.sagepub.com/home/ccm		14657		Volltext		Sage Publications	sage_premier	1470-5958;1741-2838	2053516-8
